text,intent,sentiment
I am very satisfied! How much does ZENDFleet IoT cost in India?,Product Inquiry,Happy
This is ridiculous! Why is my bill so high this month for ZENDSmart Lighting?,Billing,Angry
When is my next billing date for ZENDStorage 1TB? Thank you for your assistance.,Billing,Neutral
Can I add family members to my ZENDSmart Parking plan?,Product Inquiry,Neutral
Please clarify the tax charges on my Prepaid Plus plan. Thank you for the excellent support!,Billing,Happy
I filed a complaint 2 weeks ago and got no response. ZENDS never disappoints!,Complaint,Happy
Can you please help me with My ZENDArchive Storage connection keeps dropping every few minutes.,Technical,Neutral
This is the worst service ever! What are the features of Prepaid Plus plan?,Product Inquiry,Angry
Does ZENDS offer any discount for annual payment? I will escalate this issue!,Product Inquiry,Angry
Nobody from ZENDS has followed up on my issue. This has gone too far!,Complaint,Angry
I am very satisfied! I want a refund for Postpaid Platinum as it is not working.,Refund,Happy
I am extremely frustrated! I was double charged for ZENDStorage 10TB this month.,Billing,Angry
I need a copy of my bill for ZENDOffice Net 200. Please provide an update.,Billing,Neutral
It has been 5 days and I still have not received my refund.,Refund,Neutral
I did not receive my invoice for Prepaid Plus this month. I would appreciate your help.,Billing,Neutral
I cannot connect to ZENDSmart Lighting service at all. This needs to be fixed immediately!,Technical,Angry
I cannot believe this! What is the data limit for Prepaid Unlimited plan?,Product Inquiry,Angry
What are the available plans in Thailand? Looking forward to more great service!,Product Inquiry,Happy
I am fed up with ZENDS! My bill shows $48 but I should be charged less.,Billing,Angry
I have a query regarding My refund was rejected but I meet all the criteria.,Refund,Neutral
ZENDS has been wonderful! My ZENDBiz Connect 500 internet is not working since 1 month.,Technical,Happy
I am fed up with ZENDS! Please escalate my refund request for ZENDFiber Home 100Mbps.,Refund,Angry
My ZENDBiz Connect 500 connection keeps dropping every few minutes.,Technical,Neutral
There is network outage in my area for 3 days. Very happy with the service!,Technical,Happy
Please refund $100 to my account immediately.,Refund,Neutral
I cancelled my ZENDFiber Home 1Gbps plan but no refund was given. ZENDS never disappoints!,Refund,Happy
Great service so far! My ZENDBiz Connect 500 data speed is very slow.,Technical,Happy
I want to escalate my complaint regarding ZENDArchive Storage. This has gone too far!,Complaint,Angry
ZENDS has been wonderful! My complaint ticket TKT99593 has been ignored.,Complaint,Happy
I need a refund for the unused portion of ZENDIndustrial Sensor. ZENDS never disappoints!,Refund,Happy
This is ridiculous! I was charged $30 but my plan is only $30.,Billing,Angry
I am getting error while setting up ZENDEnterprise Dedicated. Please guide me on this.,Technical,Neutral
I need assistance with Your SLA was breached for my account ACC60432.,Complaint,Neutral
I am extremely frustrated! I cannot connect to ZENDEnterprise Dedicated service at all.,Technical,Angry
"Hi, I love ZENDS service! Nobody from ZENDS has followed up on my issue.",Complaint,Happy
Kindly help me with I have not received my bill for the past 5 days.,Billing,Neutral
I am very satisfied! It has been 1 month and I still have not received my refund.,Refund,Happy
I am eligible for a refund as per ZENDS policy.,Refund,Neutral
Can I add family members to my ZENDOffice Net 500 plan? Looking forward to more great service!,Product Inquiry,Happy
My complaint ticket TKT94939 has been ignored. Truly satisfied customer here!,Complaint,Happy
What IoT solutions does ZENDS offer for smart cities?,Product Inquiry,Neutral
I need assistance with There is network outage in my area for 3 days.,Technical,Neutral
I am extremely frustrated! My ZENDSmart Traffic eSIM is not activating.,Technical,Angry
This is ridiculous! I filed a complaint 1 month ago and got no response.,Complaint,Angry
My refund for ZENDEnterprise Dedicated has not been processed yet. ZENDS never disappoints!,Refund,Happy
This is absolutely unacceptable! Nobody from ZENDS has followed up on my issue.,Complaint,Angry
Can I get a detailed breakdown of my ZENDFiber Home 1Gbps charges?,Billing,Neutral
"I was charged $100 wrongly, I need a refund. This has gone too far!",Refund,Angry
"ZENDS has been wonderful! I did not use ZENDBiz Connect 1G at all, please refund $60.",Refund,Happy
Great service so far! I was charged $150 but my plan is only $150.,Billing,Happy
I filed a complaint 1 month ago and got no response. Thank you for the excellent support!,Complaint,Happy
I would like to know It has been 5 days and I still have not received my refund.,Refund,Neutral
What are the available plans in Singapore? I will definitely recommend ZENDS!,Product Inquiry,Happy
This is absolutely unacceptable! Why is my bill so high this month for ZENDArchive Storage?,Billing,Angry
I am extremely frustrated! When is my next billing date for ZENDOffice Net 200?,Billing,Angry
I need a refund for the unused portion of ZENDFiber Home 300Mbps. Awaiting your response.,Refund,Neutral
I filed a complaint 5 days ago and got no response. Thank you for your assistance.,Complaint,Neutral
Thank you ZENDS! My enterprise account ACC41571 has wrong billing details.,Billing,Happy
My Postpaid Silver eSIM is not activating. Looking forward to more great service!,Technical,Happy
My ticket TKT70217 regarding refund has no update. I demand an immediate resolution!,Refund,Angry
Why was $200 deducted without any notice? Awaiting your response.,Billing,Neutral
Please provide information about Why is my refund taking more than 5 days?,Refund,Neutral
ZENDS has been wonderful! I did not receive my invoice for ZENDStorage 10TB this month.,Billing,Happy
I am fed up with ZENDS! There is network outage in my area for 3 days.,Technical,Angry
Kindly help me with Can I upgrade from Prepaid Unlimited to a higher plan?,Product Inquiry,Neutral
Can I get a bundle offer for mobile and broadband? ZENDS is the best provider!,Product Inquiry,Happy
What is the difference between Postpaid Gold and Platinum? ZENDS is the best provider!,Product Inquiry,Happy
I need a refund for the unused portion of ZENDFiber Home 100Mbps. I demand an immediate resolution!,Refund,Angry
What is the difference between Postpaid Gold and Platinum? Looking forward to more great service!,Product Inquiry,Happy
I am very angry about this! I was promised a resolution in 1 week but nothing happened.,Complaint,Angry
What is the difference between Postpaid Gold and Platinum? This has gone too far!,Product Inquiry,Angry
My issue with ZENDSmart Parking has not been resolved since 1 month. Truly satisfied customer here!,Complaint,Happy
This is ridiculous! My ZENDSmart Parking data speed is very slow.,Technical,Angry
I want to escalate my complaint regarding Postpaid Platinum. This is completely unacceptable!,Complaint,Angry
I am planning to switch providers due to poor service.,Complaint,Neutral
I am extremely frustrated! I keep getting transferred between agents with no help.,Complaint,Angry
Please escalate my refund request for ZENDIndustrial Sensor. Fix this now or I will switch providers!,Refund,Angry
My issue with ZENDBiz Connect 1G has not been resolved since 1 week.,Complaint,Neutral
I really enjoy using ZENDS! Nobody from ZENDS has followed up on my issue.,Complaint,Happy
This is the worst service ever! How do I migrate to Prepaid Basic from my current plan?,Product Inquiry,Angry
"I did not use ZENDOffice Net 500 at all, please refund $48. Awaiting your response.",Refund,Neutral
When is my next billing date for ZENDSmart Traffic? Truly satisfied customer here!,Billing,Happy
Can I add family members to my ZENDFiber Home 300Mbps plan? I demand an immediate resolution!,Product Inquiry,Angry
Can I upgrade from ZENDFiber Home 100Mbps to a higher plan? I am very disappointed with ZENDS!,Product Inquiry,Angry
ZENDS has been wonderful! I did not receive my invoice for ZENDFiber Home 100Mbps this month.,Billing,Happy
Tell me about ZENDCloud VM plans and pricing. I will escalate this issue!,Product Inquiry,Angry
Your service is amazing! I have not received my bill for the past 2 weeks.,Billing,Happy
There is network outage in my area for 1 month.,Technical,Neutral
This is outrageous! What is the SLA for ZENDEnterprise Ultra enterprise plan?,Product Inquiry,Angry
My refund for ZENDOffice Net 200 has not been processed yet. Fix this now or I will switch providers!,Refund,Angry
I am facing slow speed on ZENDIndustrial Sensor plan. I expect an urgent response!,Technical,Angry
I am happy with ZENDS! What is the SLA for ZENDEnterprise Dedicated enterprise plan?,Product Inquiry,Happy
I really enjoy using ZENDS! My ticket TKT99733 regarding refund has no update.,Refund,Happy
Great service so far! What IoT solutions does ZENDS offer for smart cities?,Product Inquiry,Happy
I have a query regarding Why is my refund taking more than 2 weeks?,Refund,Neutral
I am very satisfied! I filed a complaint 3 days ago and got no response.,Complaint,Happy
I am very unhappy with the service quality of ZENDBiz Connect 1G. I am very disappointed with ZENDS!,Complaint,Angry
Thank you ZENDS! Tell me about ZENDCloud VM plans and pricing.,Product Inquiry,Happy
My ZENDSmart Lighting connection is unstable since 2 weeks. Very happy with the service!,Technical,Happy
I am happy with ZENDS! Please clarify the tax charges on my ZENDIndustrial Sensor plan.,Billing,Happy
I keep getting transferred between agents with no help. This is completely unacceptable!,Complaint,Angry
Please clarify the tax charges on my ZENDBiz Connect 1G plan. This needs to be fixed immediately!,Billing,Angry
I really enjoy using ZENDS! I am unable to make calls on ZENDOffice Net 500 plan.,Technical,Happy
I want to escalate my complaint regarding ZENDFiber Home 1Gbps. Please respond at your earliest convenience.,Complaint,Neutral
Can I upgrade from ZENDFiber Home 1Gbps to a higher plan? I am very disappointed with ZENDS!,Product Inquiry,Angry
My router for ZENDStorage 1TB is not responding. Truly satisfied customer here!,Technical,Happy
What IoT solutions does ZENDS offer for smart cities? Very happy with the service!,Product Inquiry,Happy
I would like to know I want to escalate my complaint regarding ZENDBiz Connect 100.,Complaint,Neutral
I want a refund for Postpaid Gold as it is not working. Looking forward to more great service!,Refund,Happy
Can I get a detailed breakdown of my ZENDSmart Traffic charges? Please guide me on this.,Billing,Neutral
Your support team was very rude to me. Please respond at your earliest convenience.,Complaint,Neutral
I am unable to make calls on ZENDBiz Connect 1G plan.,Technical,Neutral
The Postpaid Platinum app is crashing on my device. Very happy with the service!,Technical,Happy
What is included in the Enterprise Dedicated support? This has gone too far!,Product Inquiry,Angry
I am extremely frustrated! I keep getting transferred between agents with no help.,Complaint,Angry
This is outrageous! This is the worst experience I have had with ZENDS.,Complaint,Angry
I have been waiting for 3 days with no resolution. This is completely unacceptable!,Complaint,Angry
Your SLA was breached for my account ACC25014. I will definitely recommend ZENDS!,Complaint,Happy
Why is my refund taking more than 3 days?,Refund,Neutral
Nobody from ZENDS has followed up on my issue. I am very disappointed with ZENDS!,Complaint,Angry
I have a query regarding Refund request for account ACC16175 is still pending.,Refund,Neutral
Can I add family members to my ZENDBiz Connect 1G plan?,Product Inquiry,Neutral
Can I upgrade from ZENDFleet IoT to a higher plan? Looking forward to more great service!,Product Inquiry,Happy
Kindly help me with Please refund $80 to my account immediately.,Refund,Neutral
Your service is amazing! I am facing slow speed on ZENDBiz Connect 1G plan.,Technical,Happy
I really enjoy using ZENDS! My issue with ZENDArchive Storage has not been resolved since 3 days.,Complaint,Happy
I would like to know I have not received my bill for the past 3 days.,Billing,Neutral
Your service is amazing! I want a refund for ZENDCloud VM Enterprise as it is not working.,Refund,Happy
Great service so far! I need a refund for the unused portion of Postpaid Silver.,Refund,Happy
I am unable to make calls on ZENDOffice Net 1G plan. I would appreciate your help.,Technical,Neutral
I am extremely frustrated! My ZENDFiber Home 100Mbps eSIM is not activating.,Technical,Angry
I am very satisfied! I want to escalate my complaint regarding ZENDFleet IoT.,Complaint,Happy
I am planning to switch providers due to poor service.,Complaint,Neutral
I want a refund for ZENDIndustrial Sensor as it is not working. Very happy with the service!,Refund,Happy
My bill shows $200 but I should be charged less. Please guide me on this.,Billing,Neutral
Please clarify the tax charges on my ZENDBiz Connect 1G plan. I would appreciate your help.,Billing,Neutral
I am very unhappy with the service quality of ZENDCloud VM Pro. I am very disappointed with ZENDS!,Complaint,Angry
I would like to know Refund request for account ACC82063 is still pending.,Refund,Neutral
This is ridiculous! I am planning to switch providers due to poor service.,Complaint,Angry
What are the available plans in Singapore? I would appreciate your help.,Product Inquiry,Neutral
I cannot believe this! Your SLA was breached for my account ACC75612.,Complaint,Angry
My Prepaid Unlimited connection is unstable since 2 weeks.,Technical,Neutral
Please provide information about There is an incorrect charge of $200 on my account.,Billing,Neutral
This is absolutely unacceptable! What is the SLA for ZENDFiber Home 1Gbps enterprise plan?,Product Inquiry,Angry
I cannot believe this! Can I add family members to my ZENDStorage 10TB plan?,Product Inquiry,Angry
This is absolutely unacceptable! My complaint ticket TKT40021 has been ignored.,Complaint,Angry
My IoT device ZENDStorage 10TB is not sending data. ZENDS is the best provider!,Technical,Happy
"I am fed up with ZENDS! I did not use ZENDOffice Net 1G at all, please refund $72.",Refund,Angry
Can you explain the charges on my ACC52487 account? I am very disappointed with ZENDS!,Billing,Angry
Your service is amazing! I am eligible for a refund as per ZENDS policy.,Refund,Happy
I have a query regarding I was promised a resolution in 3 days but nothing happened.,Complaint,Neutral
I want a refund for ZENDBiz Connect 1G as it is not working. Thank you for the excellent support!,Refund,Happy
"Hi, I love ZENDS service! Your SLA was breached for my account ACC88172.",Complaint,Happy
I have not received my bill for the past 5 days. I will definitely recommend ZENDS!,Billing,Happy
This is the worst service ever! I have been waiting for 2 weeks with no resolution.,Complaint,Angry
What are the available plans in India? I demand an immediate resolution!,Product Inquiry,Angry
Can you please help me with My ticket TKT46048 regarding refund has no update.,Refund,Neutral
I am extremely frustrated! There is network outage in my area for 1 week.,Technical,Angry
What is the SLA for Postpaid Platinum enterprise plan? Looking forward to more great service!,Product Inquiry,Happy
"I did not use ZENDCloud VM Enterprise at all, please refund $48. This needs to be fixed immediately!",Refund,Angry
What is the difference between Postpaid Gold and Platinum?,Product Inquiry,Neutral
Tell me about ZENDCloud VM plans and pricing. Please guide me on this.,Product Inquiry,Neutral
I am very angry about this! Does Prepaid Basic support international roaming?,Product Inquiry,Angry
I did not receive my invoice for Prepaid Basic this month. This has gone too far!,Billing,Angry
I have a query regarding My enterprise account ACC12552 has wrong billing details.,Billing,Neutral
I want to understand My auto-payment failed for ZENDCloud VM Pro plan.,Billing,Neutral
When is my next billing date for ZENDBiz Connect 100? ZENDS is the best provider!,Billing,Happy
I am facing slow speed on ZENDBiz Connect 500 plan.,Technical,Neutral
My complaint ticket TKT23396 has been ignored.,Complaint,Neutral
ZENDS has been wonderful! I am unable to make calls on ZENDEnterprise Ultra plan.,Technical,Happy
I have a query regarding Refund request for account ACC16175 is still pending.,Refund,Neutral
This is the worst service ever! I have not received my bill for the past 1 month.,Billing,Angry
I want to understand I have been waiting for 1 month with no resolution.,Complaint,Neutral
I am happy with ZENDS! My ZENDBiz Connect 500 eSIM is not activating.,Technical,Happy
I have a query regarding I want to escalate my complaint regarding ZENDSmart Traffic.,Complaint,Neutral
Please escalate my refund request for ZENDBiz Connect 100. Please provide an update.,Refund,Neutral
My complaint ticket TKT65302 has been ignored. Kindly look into this matter.,Complaint,Neutral
This is ridiculous! Can I upgrade from ZENDBiz Connect 1G to a higher plan?,Product Inquiry,Angry
Kindly help me with I filed a complaint 1 month ago and got no response.,Complaint,Neutral
Does ZENDS offer any discount for annual payment? I would appreciate your help.,Product Inquiry,Neutral
My ZENDEnterprise Ultra connection is unstable since 3 days. Keep up the great work!,Technical,Happy
My ZENDBiz Connect 100 connection is unstable since 1 month. Keep up the great work!,Technical,Happy
Can I add family members to my ZENDCloud VM Basic plan? ZENDS is the best provider!,Product Inquiry,Happy
This is absolutely unacceptable! My ZENDCloud VM Enterprise connection keeps dropping every few minutes.,Technical,Angry
Please refund $72 to my account immediately. Truly satisfied customer here!,Refund,Happy
I am extremely frustrated with ZENDS customer support. Please provide an update.,Complaint,Neutral
I have a query regarding I want to escalate my complaint regarding ZENDArchive Storage.,Complaint,Neutral
Your service is amazing! How do I migrate to ZENDBiz Connect 1G from my current plan?,Product Inquiry,Happy
Your service is amazing! I was charged $48 but my plan is only $48.,Billing,Happy
It has been 5 days and I still have not received my refund. I would appreciate your help.,Refund,Neutral
Can I get a detailed breakdown of my ZENDSmart Traffic charges?,Billing,Neutral
"I did not use ZENDSmart Lighting at all, please refund $72. I will escalate this issue!",Refund,Angry
I have a query regarding I am planning to switch providers due to poor service.,Complaint,Neutral
This is absolutely unacceptable! Nobody from ZENDS has followed up on my issue.,Complaint,Angry
Please provide information about I need a copy of my bill for ZENDBiz Connect 1G.,Billing,Neutral
I want to understand Cloud service ZENDSmart Lighting is showing downtime.,Technical,Neutral
This is the worst service ever! Refund request for account ACC37869 is still pending.,Refund,Angry
Refund request for account ACC72296 is still pending. Please provide an update.,Refund,Neutral
Can you please help me with My ZENDFiber Home 100Mbps connection is unstable since 1 week.,Technical,Neutral
I filed a complaint 1 week ago and got no response. ZENDS never disappoints!,Complaint,Happy
"I cancelled Postpaid Gold within 7 days, please process my refund. I am very disappointed with ZENDS!",Refund,Angry
This is ridiculous! What is included in the Enterprise Dedicated support?,Product Inquiry,Angry
I was charged $60 but my plan is only $60. I will definitely recommend ZENDS!,Billing,Happy
Cloud service Postpaid Gold is showing downtime.,Technical,Neutral
My auto-payment failed for ZENDStorage 10TB plan. I will escalate this issue!,Billing,Angry
I cancelled my ZENDArchive Storage plan but no refund was given. Looking forward to more great service!,Refund,Happy
Your SLA was breached for my account ACC86622.,Complaint,Neutral
I did not receive my invoice for ZENDOffice Net 1G this month. Fix this now or I will switch providers!,Billing,Angry
Can you please help me with I was promised a resolution in 2 weeks but nothing happened.,Complaint,Neutral
"Your service is amazing! I did not use ZENDFiber Home 1Gbps at all, please refund $60.",Refund,Happy
I am very angry about this! I cancelled my ZENDOffice Net 1G plan but no refund was given.,Refund,Angry
My auto-payment failed for ZENDSmart Lighting plan. I will definitely recommend ZENDS!,Billing,Happy
There is network outage in my area for 1 week. This is completely unacceptable!,Technical,Angry
I cannot believe this! My ZENDOffice Net 1G eSIM is not activating.,Technical,Angry
Your SLA was breached for my account ACC88104. I will definitely recommend ZENDS!,Complaint,Happy
Can you explain the charges on my ACC65333 account? Looking forward to more great service!,Billing,Happy
"This is the worst service ever! I was charged $100 wrongly, I need a refund.",Refund,Angry
The ZENDBiz Connect 500 app is crashing on my device. I demand an immediate resolution!,Technical,Angry
I am unable to make calls on ZENDIndustrial Sensor plan. ZENDS never disappoints!,Technical,Happy
I want a refund for Prepaid Plus as it is not working. This has gone too far!,Refund,Angry
I cannot login to my ZENDS account since 2 weeks. Fix this now or I will switch providers!,Technical,Angry
"I was charged $80 wrongly, I need a refund. Very happy with the service!",Refund,Happy
Please clarify the tax charges on my ZENDCloud VM Pro plan. Please let me know the details.,Billing,Neutral
This is the worst service ever! There is network outage in my area for 3 days.,Technical,Angry
This is absolutely unacceptable! What is the SLA for ZENDFiber Home 300Mbps enterprise plan?,Product Inquiry,Angry
ZENDS has been wonderful! Can I upgrade from Postpaid Platinum to a higher plan?,Product Inquiry,Happy
Tell me about ZENDCloud VM plans and pricing. I will definitely recommend ZENDS!,Product Inquiry,Happy
Please provide information about I have not received my bill for the past 2 weeks.,Billing,Neutral
I am very angry about this! I am unable to make calls on ZENDBiz Connect 500 plan.,Technical,Angry
I need a copy of my bill for Prepaid Plus. I demand an immediate resolution!,Billing,Angry
Can I get a bundle offer for mobile and broadband? Please guide me on this.,Product Inquiry,Neutral
Refund request for account ACC76540 is still pending. Thank you for the excellent support!,Refund,Happy
I am very satisfied! Your support team was very rude to me.,Complaint,Happy
I was promised a resolution in 5 days but nothing happened.,Complaint,Neutral
Could you clarify I need a copy of my bill for Postpaid Silver.,Billing,Neutral
This is ridiculous! My router for ZENDStorage 10TB is not responding.,Technical,Angry
Please provide information about I am facing slow speed on ZENDFleet IoT plan.,Technical,Neutral
"I am extremely frustrated! I cancelled Prepaid Basic within 7 days, please process my refund.",Refund,Angry
I cannot login to my ZENDS account since 3 days.,Technical,Neutral
